Encounter,Location,Project,Recording,Species,SamplingRate,SELECTIONNUMBER,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEDIANDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLDUR,STEPDUR
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:17:56,Steno bredanensis,500000.0,1,5493.1640625,5371.09375,0.385,5432.12890625,5493.1640625,122.0703125,0.33072661113155233,0.05416289149585321,5418.141682942708,44.04832986371046,5432.12890625,5432.12890625,0.02247191011235955,1.0227272727272727,0.9888888888888889,5432.12890625,5371.09375,5432.12890625,61.03515625,0.3383434956159573,0.29959907702231403,0.3274773197794106,0.35922682997148814,0.018310546875,0,0,0,185.51719224924014,510.1722786854103,8174.351283482142,-7629.39453125,-1.0714285714285714,1,0,0,1,0,0,0,0,2,1,2,2,34.92063492063492,33.33333333333333,31.746031746031743,2,0.113,0.113,1.0,0.113,0.113,0.0,5.194805194805195,0.0
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:15:56,Steno bredanensis,500000.0,1,8300.78125,6469.7265625,1.122,6469.7265625,7019.04296875,1831.0546875,0.6779580011698437,0.13324936755355463,7376.850515172101,394.1200020321344,7263.18359375,7385.25390625,0.24793388429752067,1.2830188679245282,0.9217391304347826,8239.74609375,7141.11328125,7080.078125,549.31640625,0.6628357208945884,0.5999255278364263,0.6680589357237342,0.7837516659189993,0.45166015625,1,0,1,513.2228553868325,4564.200639862849,38644.834380511464,-7708.110506572419,-5.013528846993106,2,1,0,1,0,0,2,1,2,13,2,13,27.906976744186046,47.674418604651166,24.418604651162788,5,0.336,0.015,22.400000000000002,0.07800000000000001,0.12675,0.15134370375627348,4.45632798573975,0.89126559714795
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:34:56,Steno bredanensis,500000.0,1,9765.625,4394.53125,0.729,9582.51953125,4394.53125,5371.09375,0.6565525588971945,0.21488135591682336,5477.566189236111,1827.5208648429511,4394.53125,7080.078125,0.7586206896551724,2.2222222222222223,2.1805555555555554,6042.48046875,4394.53125,4394.53125,1617.431640625,0.5996666198469567,0.6734400484203621,0.6596769131800143,0.6952447654835849,0.555419921875,0,2,2,-7111.5155302523635,8140.1979389602275,45776.3671875,-20566.704526665464,-2.2257511954892584,0,0,1,1,0,0,0,0,0,3,0,3,26.881720430107524,46.236559139784944,26.881720430107524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7434842249657065
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:34:56,Steno bredanensis,500000.0,2,9521.484375,4272.4609375,0.77,9521.484375,4394.53125,5249.0234375,0.7919221789148455,0.2119338731161973,5609.452097039473,1960.3771885559718,4333.49609375,6896.97265625,0.7610619469026548,2.2285714285714286,2.1666666666666665,6713.8671875,4333.49609375,4272.4609375,2319.3359375,0.8276265078429609,0.69002613326212,0.8368703984935036,0.8140893063714908,0.52490234375,0,2,2,-6703.61220937289,7028.267295809061,7629.39453125,-18982.304021869168,-0.4019214170450707,0,0,1,1,0,0,1,0,1,2,2,2,27.225130890052355,47.12041884816754,25.654450261780106,2,0.123,0.123,1.0,0.123,0.123,0.0,2.5974025974025974,2.5974025974025974
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:34:56,Steno bredanensis,500000.0,3,10070.80078125,4333.49609375,0.678,9399.4140625,4333.49609375,5737.3046875,0.787982768510705,0.20652547204439803,5593.436104910715,1971.2786295120675,4333.49609375,7202.1484375,0.7966101694915254,2.323943661971831,2.1690140845070425,6347.65625,4333.49609375,4333.49609375,1922.607421875,0.8383244739630363,0.7051693212763313,0.8529785121626099,0.751315481274733,0.6103515625,0,2,2,-7302.566385332999,9508.65637027276,91552.734375,-21141.386192655722,-4.3304981773997575,0,0,1,1,0,0,0,0,0,2,0,3,26.47058823529412,47.05882352941176,26.47058823529412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.949852507374631
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:11:56,Steno bredanensis,500000.0,1,10559.08203125,4394.53125,0.409,9399.4140625,4394.53125,6164.55078125,0.8871961730901315,0.1751891889675389,6323.720894607844,2259.8204884301717,4882.8125,7476.806640625,0.8244897959183674,2.4027777777777777,2.138888888888889,8361.81640625,4882.8125,4516.6015625,3814.697265625,0.7683513573370633,0.8690363676634141,1.023857501874131,0.8875680731855664,0.665283203125,0,2,2,-11577.303447420638,18857.925657242067,60671.85174851191,-26237.26646953681,-2.3124303676587616,2,1,0,1,0,0,1,0,0,4,1,4,17.91044776119403,65.67164179104478,16.417910447761194,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88997555012225
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:11:56,Steno bredanensis,500000.0,2,10681.15234375,4394.53125,0.376,9338.37890625,4394.53125,6286.62109375,0.8713740331502744,0.19851995855250645,6499.594830452128,2306.551490151894,5187.98828125,7537.841796875,0.8340080971659919,2.4305555555555554,2.125,9216.30859375,5187.98828125,4516.6015625,4241.943359375,0.7149697595834551,0.867045042685858,1.0231369248977384,0.8811598938234803,0.677490234375,0,2,2,-13166.365745233781,20663.07515420118,86212.158203125,-26830.24623058635,-3.21324513618677,2,1,0,0,0,1,1,0,0,2,0,2,15.517241379310345,70.6896551724138,13.793103448275861,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.319148936170213
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:11:56,Steno bredanensis,500000.0,3,9765.625,4394.53125,0.541,9643.5546875,4394.53125,5371.09375,0.8377405786055441,0.1657082577634599,5802.894706156716,1956.973862134976,4638.671875,7080.078125,0.7586206896551724,2.2222222222222223,2.1944444444444446,6652.83203125,4638.671875,4516.6015625,2044.677734375,0.8192453384124229,0.8316753771838582,0.8987278721171821,0.7990370484651614,0.52490234375,0,2,2,-9856.928191889132,10781.703286586102,30517.578125,-21283.588712177585,-1.4338549075391176,0,0,1,1,0,0,0,0,0,3,0,3,22.123893805309734,55.75221238938053,22.123893805309734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696857670979667
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:11:56,Steno bredanensis,500000.0,5,9155.2734375,4455.56640625,0.591,9155.2734375,4455.56640625,4699.70703125,0.9221532468515833,0.18083765778712776,5289.156142979452,1436.1365750650793,4516.6015625,6805.419921875,0.6905829596412556,2.0547945205479454,2.0547945205479454,5310.05859375,4516.6015625,4455.56640625,610.3515625,0.8888634100667311,0.952750264868132,0.9421329054568629,0.9067158423915423,0.42724609375,0,2,2,-7794.899915261244,7794.899915261244,0.0,-21585.876688415752,0.0,0,0,1,1,0,0,0,0,0,2,0,2,26.797385620915033,46.40522875816993,26.797385620915033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3840947546531304
AD76_S30_Sb,Hawaii,HICEAS2017,2017-07-22 17:18:56,Steno bredanensis,500000.0,4,8483.88671875,7324.21875,0.425,7690.4296875,7324.21875,1159.66796875,0.38224196287886747,0.14155774645192115,7773.345371462264,349.6164968751749,7690.4296875,7904.052734375,0.14671814671814673,1.1583333333333334,1.05,8361.81640625,7873.53515625,7507.32421875,671.38671875,0.35874748191311917,0.42598401224546273,0.4407299933964293,0.3053136317270542,0.28076171875,0,0,0,-877.9858785962305,8311.754909044947,48319.498697916664,-8849.380017728541,-5.46021287379625,1,0,0,0,0,1,1,2,1,3,0,5,18.461538461538463,66.15384615384615,15.384615384615385,4,0.205,0.008,25.624999999999996,0.016,0.07633333333333332,0.11150037369145151,9.411764705882353,0.0
