Encounter,Location,Project,Recording,Species,SamplingRate,SELECTIONNUMBER,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEDIANDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLDUR,STEPDUR
s125,Hawaii,HICEAS2002,2002-08-14 12:00:47,Steno bredanensis,150000.0,2,12158.203125,9228.515625,0.437,11059.5703125,12158.203125,2929.6875,0.21614435059765558,0.133932798062047,10825.1953125,896.7682632041386,10986.328125,10693.359375,0.273972602739726,1.3174603174603174,0.9096385542168675,9301.7578125,10986.328125,11572.265625,1391.6015625,0.17165202237634852,0.24459317840346298,0.24133477223806926,0.2097781998865733,0.41748046875,0,0,0,3422.328404017858,14811.924525669645,83356.58482142857,-18223.353794642866,-4.574162679425835,0,0,1,1,0,0,2,1,2,5,3,4,31.62393162393162,43.58974358974359,24.786324786324787,6,0.13,0.014,9.285714285714286,0.061,0.06420000000000001,0.04212718837045739,13.729977116704806,0.0
s125,Hawaii,HICEAS2002,2002-08-14 12:00:47,Steno bredanensis,150000.0,5,10620.1171875,6518.5546875,0.477,6518.5546875,10620.1171875,4101.5625,0.18461413141625407,0.12577579448864556,9355.399977992958,1498.051898076429,10546.875,8569.3359375,0.47863247863247865,1.6292134831460674,0.6137931034482759,8129.8828125,10546.875,10620.1171875,2490.234375,0.16807589514512292,0.19764526670624719,0.19943889161304243,0.17263072754085954,0.38818359375,1,0,1,9053.132971938776,9352.08067602041,53681.873139880954,-10463.169642857143,-5.1305555555555555,2,1,0,1,0,0,0,1,9,0,7,2,41.358024691358025,29.629629629629626,29.01234567901235,3,0.341,0.014,24.357142857142858,0.17750000000000002,0.17750000000000002,0.23122391744800105,6.289308176100629,2.0964360587002098
s125,Hawaii,HICEAS2002,2002-08-14 12:22:37,Steno bredanensis,150000.0,1,10107.421875,9301.7578125,0.205,10107.421875,9301.7578125,805.6640625,0.36659806812092255,0.05087509986421273,9667.96875,255.8239628404245,9667.96875,9704.58984375,0.0830188679245283,1.0866141732283465,1.0866141732283465,9667.96875,9375.0,9887.6953125,439.453125,0.3849167324977893,0.37238913104146276,0.38161851915179384,0.32187786431717635,0.19775390625,0,0,0,-4039.946056547618,11712.937127976194,115094.86607142857,-10740.602171266233,-10.715867158671587,0,0,1,0,0,1,0,0,0,1,0,1,6.451612903225806,87.09677419354838,6.451612903225806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s125,Hawaii,HICEAS2002,2002-08-14 11:56:47,Steno bredanensis,150000.0,2,8642.578125,7104.4921875,1.031,8642.578125,7983.3984375,1538.0859375,0.3219645202125571,0.058013521802925024,7545.8727384868425,471.73169683057114,7287.59765625,7873.53515625,0.19534883720930232,1.2164948453608246,1.0825688073394495,7690.4296875,7250.9765625,7104.4921875,805.6640625,0.3407950993654917,0.32048474183900866,0.30758651183508023,0.31840244749835495,0.34423828125,1,0,1,-730.4585870979183,3779.3292115066224,115094.86607142857,-10983.515444988483,-10.478873239436615,0,0,1,1,0,0,0,0,1,15,1,15,29.069767441860467,42.44186046511628,28.488372093023255,2,0.049,0.049,1.0,0.049,0.049,0.0,1.939864209505335,0.9699321047526674
s125,Hawaii,HICEAS2002,2002-08-14 11:56:47,Steno bredanensis,150000.0,3,9082.03125,7104.4921875,0.969,9082.03125,8129.8828125,1977.5390625,0.36695426694820044,0.16943990240253354,7557.774256993007,485.4409530390586,7324.21875,8093.26171875,0.24434389140271492,1.2783505154639174,1.117117117117117,7617.1875,7324.21875,7104.4921875,622.55859375,0.4225449472809596,0.4395291149139035,0.3373533095839044,0.2655735654159151,0.30029296875,1,0,1,-1025.4397478621731,3383.3371321680092,33482.142857142855,-11593.450314153442,-2.888022284122562,0,0,1,0,0,1,0,0,3,11,3,11,30.42071197411003,42.394822006472495,27.184466019417474,2,0.117,0.117,1.0,0.117,0.117,0.0,2.063983488132095,1.0319917440660475
s125,Hawaii,HICEAS2002,2002-08-14 11:56:47,Steno bredanensis,150000.0,7,8862.3046875,7067.87109375,0.505,7177.734375,7067.87109375,1794.43359375,0.12147237754343576,0.11915555484751518,7562.255859375,481.2424025466445,7397.4609375,7965.087890625,0.22528735632183908,1.2538860103626943,1.0155440414507773,8020.01953125,7470.703125,7214.35546875,595.0927734375,0.10825765004562433,0.13039883429259552,0.10040355976199813,0.14730594060115287,0.17578125,1,0,1,-183.44989048113968,6926.864837021086,41584.39217032967,-5059.262402261203,-8.219457475015293,2,1,0,1,0,0,1,0,0,1,0,1,10.256410256410255,84.61538461538461,5.128205128205128,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9801980198019802
s125,Hawaii,HICEAS2002,2002-08-14 11:56:47,Steno bredanensis,150000.0,8,10034.1796875,7910.15625,0.259,7910.15625,9375.0,2124.0234375,0.22559288076482453,0.12891127869314725,9461.388221153846,551.143598355063,9667.96875,8972.16796875,0.23673469387755103,1.2685185185185186,0.84375,9228.515625,9960.9375,9814.453125,659.1796875,0.2545516482998532,0.2373547475498409,0.17004207963697288,0.24207084388460975,0.21240234375,0,0,0,6046.151756343982,11025.335555686095,64871.65178571429,-10511.610243055553,-6.1714285714285735,2,1,0,0,0,1,1,0,1,4,1,4,33.80281690140845,42.25352112676056,23.943661971830984,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s125,Hawaii,HICEAS2002,2002-08-14 11:56:47,Steno bredanensis,150000.0,9,11425.78125,5859.375,0.853,5859.375,8935.546875,5566.40625,0.19139141344018892,0.12355078225243671,9152.948288690477,1147.148929370173,9155.2734375,8642.578125,0.6440677966101694,1.95,0.6557377049180327,9155.2734375,9155.2734375,9008.7890625,366.2109375,0.19281122973025627,0.1794573294692584,0.20007416851420745,0.1935620959722227,1.1279296875,4,0,4,4132.9520089285725,14324.079241071424,60713.9185855263,-27693.280522127327,-2.192370042148492,2,1,0,1,0,0,1,1,11,4,10,5,37.75100401606426,36.94779116465863,25.301204819277107,5,0.171,0.096,1.78125,0.109,0.12125,0.033728079300982046,5.861664712778429,4.6893317702227435
s125,Hawaii,HICEAS2002,2002-08-14 11:56:47,Steno bredanensis,150000.0,15,5639.6484375,5273.4375,0.628,5419.921875,5273.4375,366.2109375,0.16033891115616175,0.10015744201025402,5545.142389112903,100.48304788172598,5566.40625,5456.54296875,0.06711409395973154,1.0694444444444444,1.0277777777777777,5639.6484375,5566.40625,5566.40625,146.484375,0.12569754023859395,0.1741371493102942,0.17239407482852204,0.17063302680887035,0.05859375,0,0,0,-227.4602096273292,947.7508734472049,11044.456845238095,-10811.941964285714,-1.021505376344086,1,0,0,0,0,1,0,0,3,5,3,6,33.60995850622407,35.26970954356847,31.12033195020747,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s125,Hawaii,HICEAS2002,2002-08-14 11:56:47,Steno bredanensis,150000.0,31,12670.8984375,7836.9140625,1.038,12670.8984375,7836.9140625,4833.984375,0.2837324542222167,0.14312662077716407,8328.06755514706,635.4567818382113,8203.125,10253.90625,0.4714285714285714,1.6168224299065421,1.6168224299065421,8422.8515625,8203.125,8203.125,146.484375,0.3126038308882866,0.27000176800040654,0.24334573110793356,0.30821871382208027,0.5126953125,0,1,1,-4465.777174870771,6880.796045289,10796.554950105041,-28744.652157738084,-0.3756022125736039,0,0,1,0,0,1,0,0,9,8,9,8,35.785953177257525,39.46488294314381,24.74916387959866,8,0.176,0.041,4.292682926829268,0.117,0.11214285714285713,0.05197572693552434,7.707129094412331,0.9633911368015414
